# source path	deprecated API or compatibility surface	supported API range	removal condition
app/src/main/java/org/smssecure/smssecure/BaseActionBarActivity.java	Window status/navigation bar colors and legacy visibility flags	API 23-35	Remove when minSdk and edge-to-edge behavior no longer require legacy bar painting.
app/src/main/java/org/smssecure/smssecure/components/ComposeText.java	InputMethodManager legacy input-method picker	API 23+	Remove when Android provides a non-deprecated equivalent across the supported range.
app/src/main/java/org/smssecure/smssecure/components/KeyboardAwareLinearLayout.java	ViewTreeObserver legacy global-layout compatibility	API 23+	Remove when the layout no longer supports the pre-insets IME fallback.
app/src/main/java/org/smssecure/smssecure/components/emoji/EmojiProvider.java	Drawable.getOpacity()	API 23+	Remove when the Drawable base contract no longer requires this override.
app/src/main/java/org/smssecure/smssecure/components/reminder/StoreRatingReminder.java	PackageManager.getInstallerPackageName()	API 23-29	Remove when minSdk is 30.
app/src/main/java/org/smssecure/smssecure/components/subsampling/AttachmentRegionDecoder.java	BitmapRegionDecoder.newInstance(InputStream, boolean)	API 23-30	Remove when minSdk is 31.
app/src/main/java/org/smssecure/smssecure/contacts/ContactAccessor.java	Contacts.TIMES_CONTACTED	API 23+	Remove when legacy contact-sort parity is intentionally dropped.
app/src/main/java/org/smssecure/smssecure/contacts/avatars/ContactPhotoDrawable.java	Drawable.getOpacity()	API 23+	Remove when the Drawable base contract no longer requires this override.
app/src/main/java/org/smssecure/smssecure/database/MmsSmsDatabase.java	Cursor legacy movement/access compatibility	API 23+	Remove when the database cursor abstraction is replaced.
app/src/main/java/org/smssecure/smssecure/jobs/requirements/ServiceRequirementProvider.java	PhoneStateListener	API 23-30	Remove when minSdk is 31.
app/src/main/java/org/smssecure/smssecure/mms/IncomingLegacyMmsConnection.java	Legacy carrier MMS network APIs	API 23-28	Remove after the real-carrier matrix permits dropping the legacy MMS path.
app/src/main/java/org/smssecure/smssecure/mms/LegacyMmsConnection.java	Legacy carrier MMS network APIs	API 23-28	Remove after the real-carrier matrix permits dropping the legacy MMS path.
app/src/main/java/org/smssecure/smssecure/mms/MmsRadio.java	Legacy carrier MMS routing and network APIs	API 23-28	Remove after the real-carrier matrix permits dropping the legacy MMS path.
app/src/main/java/org/smssecure/smssecure/mms/OutgoingLegacyMmsConnection.java	Legacy carrier MMS network APIs	API 23-28	Remove after the real-carrier matrix permits dropping the legacy MMS path.
app/src/main/java/org/smssecure/smssecure/preferences/CorrectedPreferenceFragment.java	Fragment target lookup	API 23+	Remove when AndroidX Preference no longer requires target-fragment lookup.
app/src/main/java/org/smssecure/smssecure/sms/TelephonyServiceState.java	PhoneStateListener and legacy ServiceState access	API 23-30	Remove when minSdk is 31.
app/src/main/java/org/smssecure/smssecure/util/ActivityTransitionCompat.java	Activity transition overrides	API 23-33	Remove when minSdk is 34.
app/src/main/java/org/smssecure/smssecure/util/dualsim/SubscriptionManagerCompat.java	Legacy subscription metadata access	API 23-34	Remove when minSdk reaches each modern replacement API.
app/src/main/java/org/smssecure/smssecure/util/DynamicLanguage.java	Legacy locale/configuration mutation	API 23+	Remove when per-app language support replaces runtime configuration mutation.
app/src/main/java/org/smssecure/smssecure/util/DynamicTheme.java	Resources.getColor(int)	API 23+	Remove when the theme color compatibility path is replaced.
app/src/main/java/org/smssecure/smssecure/util/SmsManagerUtil.java	SmsManager.getDefault() and subscription compatibility	API 23-30	Remove when minSdk and default-SMS behavior permit subscription-only access.
app/src/main/java/org/smssecure/smssecure/util/TelephonyUtil.java	Legacy carrier and telephony access	API 23-28	Remove after the real-carrier matrix permits dropping the legacy MMS path.
app/src/main/java/org/smssecure/smssecure/util/WindowSizeCompat.java	Display.getSize(Point)	API 23-29	Remove when minSdk is 30.
